Station,Nisken.no,HPLCSet.no,VialName,Extraction.Date,Vol.Filtered.L,Chl.c3.Amount,Chl.ide.Amount,MgDVP.Amount,Chl.c2.Amount,Chl.c1.Amount,Peridinin.Amount,19.but.Amount,Fuco.Amount,19.Hex.like.keto.Amount,Neo.Amount,Prasino.Amount,Viola.Amount,19.Hex.Amount,DD.Amount,cis.fuco.Amount,Allo.Amount,Diato.Amount,Monad.Amount,Zeax.Amount,Lutein.Amount,8.Apo.Amount,Croco.Amount,Chl.b.Amount,Chl.C2.like.MGDG.Amount,Chl.a.like 1.Amount,DVChlaAmount,ChlAmount,Ph.tin.Amount,a.Car.Amount,b.Car.Amount
114,2,4,5,42206,4.65,38.243,0,6.086,24.81,0,1.915,27.402,0.747,0,2.36,0,1.223,104.514,8.166,0,0.469,0,0,16.704,0,3.983,0,22.142,4.481,2.734,28.055,170.541,11.155,8.089,2.859
114,3,4,6,42206,4.65,45.424,0,13.883,34.887,0,1.889,35.37,2.652,0,2.677,0,1.517,115.787,11.488,0,3.47,5.524,0,76.199,0,5.04,1.914,55.518,6.643,0,129.35,217.312,15.967,27.581,3.773
114,4,4,9,42206,4.65,9.346,0,5.892,10.505,0,1.336,8.297,0,0,1.894,0,1.398,32.749,7.879,0,0.15,1.827,0,73.649,0,4.124,3.113,21.663,0,3.827,44.062,82.234,7.661,11.219,3.75
114,5,4,7,42206,4.65,6.281,0,3.319,8.014,0,1.277,2.911,0,0,0,0,1.158,21.631,8.075,0,0,2.021,0,60.138,0,4.357,2.082,4.533,0,0,23.743,57.957,4.238,6.789,2.957
114,6,4,3,42206,4.65,2.381,0,2.747,5.486,0,0,0.242,0,0,0,0,1.323,12.251,7.952,0,0,2.606,0,47.751,2.24,4.008,1.273,2.342,0,0,17.157,43.628,3.839,5.416,3.049
114,7,4,4,42206,4.65,1.828,0,0,4.565,0,0,0,0,0,0,0,1.221,9.316,8.145,0,0,3.6,0,45.693,0,4.5,0,1.61,0,0,16.681,34.81,0,4.75,2.716
116,1,2,6,42200,4.65,0.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.785,0,0,0,0,0,4.431,0,0,0
116,2,2,7,42200,4.65,81.314,0,0,54.458,0,0,63.897,7.939,0,2.471,3.311,0,179.287,10.855,0,0.545,14.28,0,78.055,3.113,4.408,0,178.678,1.724,60.207,207.756,308.676,9.436,5.475,37.831
116,3,2,3,42200,4.65,15.356,0,0,16.754,0,1.483,12.193,1.165,0,1.722,0,1.525,48.975,6.817,0,0,0,0,59.491,0,4.317,2.414,15.109,2.057,0,40.21,107.005,8.904,9.554,3.652
116,4,2,4,42200,4.65,7.749,0,0,10.011,0,0.984,4.222,0,0,0,0,0,24.876,5.902,0,0,0,0,49.879,0,4.435,1.774,5.211,1.512,0,17.204,62.608,5.195,6.261,2.942
